address,name
0x00407f80,CAIHelper::FUN_00407f80
0x00407ec0,CAIHelper::GetNameForID
0x004aad70,CFileBuffer::AllocateLockedBuffer
0x004aad90,CFileBuffer::ReallocateLockedBuffer
0x004aa220,CFileBuffer::GetGenericFileBuffer
0x004aade0,CFileBuffer::FreeGenericFileBuffer
0x004d21e0,CFrontend::FUN_004d21e0
0x004b7560,CFrontend::FUN_004b7560
0x004b7590,CFrontend::FUN_004b7590
0x004a9700,CFrontend::FUN_004a9700
0x004a9a40,CGame::SetShouldExit
0x004d0780,CGame::FUN_004d0780
0x004057d0,CGame::FUN_004057d0
0x004d15e0,CGame::InitializeGame
0x0049c2c0,CGame::FUN_0049c2c0
0x0049c310,CGame::FUN_0049c310
0x0049c370,CGame::FUN_0049c370
0x0049c150,CGame::FUN_0049c150
0x0049c190,CGame::FUN_0049c190
0x00501680,CGame::FUN_00501680
0x004ea880,CGame::FUN_004ea880
0x004083e0,CGame::FUN_004083e0
0x00406810,CGame::FUN_00406810
0x0049c0a0,CGame::RegisterCallback
0x004a17b0,CGame::FUN_004a17b0
0x004a17f0,CGame::FUN_004a17f0
0x004a1a90,CGame::FUN_004a1a90
0x004aaa10,CGame::FUN_004aaa10
0x004aaac0,CGame::Cleanup
0x004aab40,CGame::DestroyDirectPlay
0x004aabb0,CGame::DestroyDirectPlayLobby
0x004aad40,CGame::GetDirectPlay
0x004057f0,CGameInfo::GetGameLanguage
0x00405800,CGameInfo::GetGameRegion
0x00405810,CGameInfo::SetGameRegion
0x00405820,CGameInfo::GetGameRegionDirectory
0x00405d80,CGameInfo::FUN_00405d80
0x00405c10,CGameInfo::GetScreenWidth
0x00405c30,CGameInfo::GetScreenHeight
0x00405c50,CGameInfo::GetColourDepth
0x00405c20,CGameInfo::SetScreenWidth
0x00405c40,CGameInfo::SetScreenHeight
0x00405c60,CGameInfo::SetColourDepth
0x004f4b40,CGameInfo::FUN_004f4b40
0x00405de0,CGameInfo::FUN_00405de0
0x00510410,CGameInfo::FUN_00510410
0x00510570,CGameInfo::FUN_00510570
0x00406010,CGameInfo::FUN_00406010
0x00406560,CGameInfo::FUN_00406560
0x00406580,CGameInfo::FUN_00406580
0x0049eaf0,CGameInfo::SetupInputs
0x004ea5e0,CGameInfo::LoadGameInfo
0x00405b20,CGameInfo::IsFullscreen
0x00405ca0,CGameInfo::FUN_00405ca0
0x00406410,CGameInfo::FUN_00406410
0x004eac50,CGameInfo::FUN_004eac50
0x004d0590,CGameInfo::FUN_004d0590
0x0049ea90,CGameInfo::FUN_0049ea90
0x0049e930,CGameInfo::FUN_0049e930
0x004d05d0,CGameInfo::FUN_004d05d0
0x004d05a0,CGameInfo::FUN_004d05a0
0x004aaa40,CGameInfo::FUN_004aaa40
0x004a0c60,CGameInfo::FUN_004a0c60
0x004a9d70,CGenericFileLoader::FUN_004a9d70
0x004a9c30,CGenericFileLoader::FUN_004a9c30
0x004aa590,CGenericFileLoader::GetGenericFileSize
0x00405830,CGraphics::InitializeDirectX
0x00405990,CGraphics::SetDefaults
0x0049fd30,CInput::DInputCreate
0x0049fe30,CInput::DInputCreateDevice
0x0049fd60,CInput::DInputRelease
0x0049fd90,CInput::DInputReleaseDevices
0x0049ef90,CInput::FUN_0049ef90
0x0049f6b0,CInput::FUN_0049f6b0
0x0049f0e0,CInput::SetupKeyboard
0x0049f060,CInput::SetupMouse
0x0049f000,CInput::SetMouseCoopLevel
0x0049f690,CInput::GetAttachedJoysticks
0x0049f6d0,CInput::SetupJoystick
0x0049fad0,CInput::SetupJoystickDeviceInfo
0x0049ee10,CInput::SetJoystickAxisRange
0x0049ee90,CInput::SetJoystickAxisDeadzone
0x0049ef10,CInput::SetJoystickAxisSaturation
0x004aae20,CInput::FUN_004aae20
0x004ab5f0,CInput::FUN_004ab5f0
0x004aafd0,CInput::SetForceFeedbackAutocenter
0x004aaf00,CInput::ResetForceFeedbackEffects
0x004aaea0,CInput::ResetForceFeedbackEffectsAlt
0x0040bf70,CInput::LoadControllerInfo
0x0040be90,CInput::FUN_0040be90
0x0040c440,CInput::FUN_0040c440
0x0049eb90,CInput::FUN_0049eb90
0x0040c530,CInput::FUN_0040c530
0x0040ed90,CInstallInfo::GetFrontendDir
0x0040eda0,CInstallInfo::GetCountrySpecificDir
0x004aa480,CInstallInfo::ShowNoCDErrorMessage
0x040e8d0,CInstallInfo::FUN_0040e8d0
0x004aa6c0,CInstallInfo::SetGameHDPath
0x004aa6e0,CInstallInfo::SetGameCDPath
0x004aa700,CInstallInfo::GetGameHDPath
0x004aa710,CInstallInfo::GetGameCDPath
0x004ab620,CLogger::OpenLogFile
0x004ab670,CLogger::LogToFile
0x004ab6f0,CLogger::CloseLogFile
0x0040e3c0,CNetworkLeaderboards::Reset
0x0040e3f0,CNetworkLeaderboards::LoadLeaderboards
0x00406910,RallyDataCountryIndex
0x00406930,RallyDataStageIndex
0x004074f0,RallyDataState
0x0040d390,RallyTiming_GetOverallPositionDriverID
0x0040d3b0,RallyTiming_GetOverallTimeForPosition
0x0040d100,RallyTiming_ResetOverallPlayerTimes
0x004aa720,CRegKey::GetValueFromKey
0x004583c0,GetStageSplitCount
0x00455cf0,StageTiming_GetDriverIDForPosition
0x00455d70,StageTiming_GetTimeForPosition
0x00415db0,PrepareFormatGapToLeader
0x004de170,FormatCentisecondsAsMinSecMSec
0x0040d480,ConvertRawTimeToCentiseconds
0x004a9720,CMain::Initialize
0x004a8140,CMain::CreateGameWindow
0x004a98b0,CMain::MessageHandler
