address,name,source_file
0x1001a180,CheckIntersections,LEGO1/lego/legoomni/include/act2actor.h
0x1007a360,ClassName,LEGO1/lego/legoomni/include/act2brick.h
0x1007a370,IsA,LEGO1/lego/legoomni/include/act2brick.h
0x1000e200,ClassName,LEGO1/lego/legoomni/include/act2policestation.h
0x1000e210,IsA,LEGO1/lego/legoomni/include/act2policestation.h
0x1000e2f0,IsSerializable,LEGO1/lego/legoomni/include/act3.h
0x1000e300,ClassName,LEGO1/lego/legoomni/include/act3.h
0x1000e310,IsA,LEGO1/lego/legoomni/include/act3.h
0x10072500,WaitForTransition,LEGO1/lego/legoomni/include/act3.h
0x10072510,ClassName,LEGO1/lego/legoomni/include/act3.h
0x10072520,IsA,LEGO1/lego/legoomni/include/act3.h
0x100430d0,ClassName,LEGO1/lego/legoomni/include/act3actors.h
0x100431b0,ClassName,LEGO1/lego/legoomni/include/act3actors.h
0x10037440,Serialize,LEGO1/lego/legoomni/include/ambulance.h
0x10037600,ClassName,LEGO1/lego/legoomni/include/ambulance.h
0x10037610,IsA,LEGO1/lego/legoomni/include/ambulance.h
0x10035f90,Destroy,LEGO1/lego/legoomni/include/ambulance.h
0x10035fa0,ClassName,LEGO1/lego/legoomni/include/ambulance.h
0x10035fb0,IsA,LEGO1/lego/legoomni/include/ambulance.h
0x100766f0,ClassName,LEGO1/lego/legoomni/include/bike.h
0x10076700,IsA,LEGO1/lego/legoomni/include/bike.h
0x10014f20,ClassName,LEGO1/lego/legoomni/include/buildingentity.h
0x10014f30,IsA,LEGO1/lego/legoomni/include/buildingentity.h
0x1000ea00,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000ea10,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000eb20,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000eb30,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000ec40,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000ec50,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000ed60,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000ed70,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000ee80,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000ee90,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000efa0,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000efb0,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000f0c0,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000f0d0,IsA,LEGO1/lego/legoomni/include/buildings.h
0x1000f1e0,ClassName,LEGO1/lego/legoomni/include/buildings.h
0x1000f1f0,IsA,LEGO1/lego/legoomni/include/buildings.h
0x100274f0,ClassName,LEGO1/lego/legoomni/include/bumpbouy.h
0x10027510,IsA,LEGO1/lego/legoomni/include/bumpbouy.h
0x1000dd30,ClassName,LEGO1/lego/legoomni/include/carrace.h
0x1000dd40,IsA,LEGO1/lego/legoomni/include/carrace.h
0x10016b20,ClassName,LEGO1/lego/legoomni/include/carrace.h
0x10016b30,IsA,LEGO1/lego/legoomni/include/carrace.h
0x1000e430,ClassName,LEGO1/lego/legoomni/include/doors.h
0x1000e440,IsA,LEGO1/lego/legoomni/include/doors.h
0x10067c30,ClassName,LEGO1/lego/legoomni/include/dunebuggy.h
0x10067c40,IsA,LEGO1/lego/legoomni/include/dunebuggy.h
0x10017f10,WaitForTransition,LEGO1/lego/legoomni/include/elevatorbottom.h
0x10017f20,ClassName,LEGO1/lego/legoomni/include/elevatorbottom.h
0x10017f30,IsA,LEGO1/lego/legoomni/include/elevatorbottom.h
0x100061d0,ClassName,LEGO1/lego/legoomni/include/gasstation.h
0x100061e0,IsA,LEGO1/lego/legoomni/include/gasstation.h
0x10004770,WaitForTransition,LEGO1/lego/legoomni/include/gasstation.h
0x10004780,ClassName,LEGO1/lego/legoomni/include/gasstation.h
0x10004790,IsA,LEGO1/lego/legoomni/include/gasstation.h
0x1000e0b0,IsSerializable,LEGO1/lego/legoomni/include/helicopter.h
0x1000e0c0,Reset,LEGO1/lego/legoomni/include/helicopter.h
0x1000e0d0,ClassName,LEGO1/lego/legoomni/include/helicopter.h
